home_team,away_team,home_goals,away_goals,actual_outcome,league,date,season,B365H,B365D,B365A
Bournemouth,PSG,1,0,H,Premier League,2023-09-02,2023-2024,1.99,4.15,4.0
Real Madrid,Bayern Munich,1,0,H,European Football,2023-09-03,2023-2024,1.89,3.93,4.1
Liverpool,Newcastle,4,1,H,Premier League,2023-09-04,2023-2024,1.79,3.72,3.86
Everton,Bournemouth,1,1,D,Premier League,2023-09-05,2023-2024,2.33,3.13,2.48
Dortmund,Aston Villa,1,3,A,European Football,2023-09-06,2023-2024,4.69,3.26,1.81
Inter,West Ham,1,0,H,European Football,2023-09-07,2023-2024,2.24,3.77,4.92
West Ham,Nottingham Forest,0,0,D,Premier League,2023-09-08,2023-2024,2.53,3.25,2.91
Juventus,Aston Villa,2,4,A,European Football,2023-09-09,2023-2024,3.02,3.52,1.91
Brentford,Everton,0,1,A,Premier League,2023-09-10,2023-2024,3.11,3.35,2.02
Bournemouth,Tottenham,3,3,D,Premier League,2023-09-11,2023-2024,2.2,3.39,2.99
Arsenal,Bournemouth,3,2,H,Premier League,2023-09-12,2023-2024,1.55,3.69,4.14
Newcastle,Aston Villa,0,0,D,Premier League,2023-09-13,2023-2024,2.49,3.56,3.26
Liverpool,Nottingham Forest,2,2,D,Premier League,2023-09-14,2023-2024,2.88,3.4,2.94
Crystal Palace,Liverpool,1,0,H,Premier League,2023-09-15,2023-2024,2.06,3.26,4.44
Aston Villa,Atletico Madrid,1,3,A,Premier League,2023-09-16,2023-2024,3.97,3.25,2.06
Chelsea,Bournemouth,2,2,D,Premier League,2023-09-17,2023-2024,2.34,3.07,3.38
Everton,Atletico Madrid,2,1,H,Premier League,2023-09-18,2023-2024,1.78,3.78,5.07
Fulham,Crystal Palace,2,1,H,Premier League,2023-09-19,2023-2024,1.64,3.33,5.44
Tottenham,Manchester City,3,3,D,Premier League,2023-09-20,2023-2024,2.11,3.37,3.02
Brentford,Bournemouth,1,1,D,Premier League,2023-09-21,2023-2024,2.23,3.21,2.48
Everton,Manchester United,1,1,D,Premier League,2023-09-22,2023-2024,2.64,3.18,3.48
Dortmund,Real Madrid,0,2,A,European Football,2023-09-23,2023-2024,3.46,3.73,2.45
Brighton,Fulham,0,0,D,Premier League,2023-09-24,2023-2024,2.65,3.16,3.07
AC Milan,Manchester City,1,1,D,European Football,2023-09-25,2023-2024,2.36,3.29,3.4
Aston Villa,Bournemouth,2,2,D,Premier League,2023-09-26,2023-2024,2.14,3.2,2.54
Fulham,Chelsea,2,1,H,Premier League,2023-09-27,2023-2024,1.78,3.21,3.73
AC Milan,Brighton,1,2,A,European Football,2023-09-28,2023-2024,4.08,3.32,1.71
Liverpool,Manchester United,3,2,H,Premier League,2023-09-29,2023-2024,2.17,4.1,4.13
Everton,Inter,0,2,A,Premier League,2023-09-30,2023-2024,4.75,3.53,2.16
Brighton,Everton,3,4,A,Premier League,2023-10-01,2023-2024,4.58,3.91,1.62
Juventus,Manchester City,2,1,H,European Football,2023-10-02,2023-2024,2.0,3.94,4.24
Chelsea,AC Milan,0,3,A,Premier League,2023-10-03,2023-2024,4.69,3.38,2.33
Tottenham,Manchester United,1,2,A,Premier League,2023-10-04,2023-2024,3.3,3.22,1.77
Manchester City,Fulham,3,4,A,Premier League,2023-10-05,2023-2024,3.41,3.71,1.96
Barcelona,Manchester City,3,0,H,European Football,2023-10-06,2023-2024,2.27,3.38,6.39
Fulham,Aston Villa,0,1,A,Premier League,2023-10-07,2023-2024,4.4,3.45,2.15
Real Madrid,Brentford,1,1,D,European Football,2023-10-08,2023-2024,2.35,3.43,2.4
Barcelona,Inter,2,2,D,European Football,2023-10-09,2023-2024,2.77,3.22,2.48
Inter,Manchester City,2,2,D,European Football,2023-10-10,2023-2024,2.22,3.54,2.96
Inter,Nottingham Forest,1,2,A,European Football,2023-10-11,2023-2024,4.02,3.35,2.2
Newcastle,Inter,2,0,H,Premier League,2023-10-12,2023-2024,1.91,3.61,6.0
Liverpool,Crystal Palace,1,1,D,Premier League,2023-10-13,2023-2024,2.75,3.28,2.89
Crystal Palace,Real Madrid,1,3,A,Premier League,2023-10-14,2023-2024,4.55,3.34,1.68
Real Madrid,Inter,2,1,H,European Football,2023-10-15,2023-2024,2.14,3.95,5.52
Everton,Crystal Palace,0,0,D,Premier League,2023-10-16,2023-2024,3.08,3.37,3.25
Tottenham,Nottingham Forest,3,1,H,Premier League,2023-10-17,2023-2024,2.05,3.58,4.7
Brighton,Dortmund,2,3,A,Premier League,2023-10-18,2023-2024,4.69,3.91,2.3
Everton,Chelsea,3,2,H,Premier League,2023-10-19,2023-2024,1.82,3.76,6.25
Brentford,Tottenham,0,1,A,Premier League,2023-10-20,2023-2024,3.97,3.65,1.89
PSG,Tottenham,2,2,D,European Football,2023-10-21,2023-2024,2.6,3.5,3.0
Chelsea,Juventus,3,1,H,Premier League,2023-10-22,2023-2024,2.08,4.04,4.33
PSG,Real Madrid,1,0,H,European Football,2023-10-23,2023-2024,1.8,3.91,4.2
Manchester City,Barcelona,0,0,D,Premier League,2023-10-24,2023-2024,2.48,3.09,2.64
Nottingham Forest,Manchester City,1,1,D,Premier League,2023-10-25,2023-2024,2.31,3.25,3.4
Atletico Madrid,AC Milan,0,3,A,European Football,2023-10-26,2023-2024,4.07,3.58,2.45
Liverpool,PSG,1,3,A,Premier League,2023-10-27,2023-2024,4.64,3.63,2.26
Bayern Munich,Everton,1,0,H,European Football,2023-10-28,2023-2024,1.84,3.59,5.51
Newcastle,Juventus,0,1,A,Premier League,2023-10-29,2023-2024,3.08,3.7,1.62
Newcastle,Atletico Madrid,2,0,H,Premier League,2023-10-30,2023-2024,1.98,3.34,4.89
Aston Villa,Fulham,1,0,H,Premier League,2023-10-31,2023-2024,1.69,3.96,4.64
PSG,Nottingham Forest,1,0,H,European Football,2023-11-01,2023-2024,1.42,3.74,6.5
Manchester United,Everton,2,2,D,Premier League,2023-11-02,2023-2024,2.75,3.45,3.44
Crystal Palace,Arsenal,2,0,H,Premier League,2023-11-03,2023-2024,1.83,3.31,6.34
Tottenham,AC Milan,1,1,D,Premier League,2023-11-04,2023-2024,2.71,3.58,3.19
PSG,Chelsea,4,0,H,European Football,2023-11-05,2023-2024,1.42,3.51,5.53
Newcastle,AC Milan,0,1,A,Premier League,2023-11-06,2023-2024,4.63,3.39,2.23
Liverpool,Inter,2,0,H,Premier League,2023-11-07,2023-2024,2.29,3.98,4.54
Nottingham Forest,Inter,1,1,D,Premier League,2023-11-08,2023-2024,2.44,3.51,3.3
Brentford,Nottingham Forest,4,1,H,Premier League,2023-11-09,2023-2024,2.15,3.91,4.81
Juventus,Real Madrid,4,0,H,European Football,2023-11-10,2023-2024,2.13,3.74,4.95
Nottingham Forest,Juventus,2,1,H,Premier League,2023-11-11,2023-2024,1.62,4.13,4.34
Tottenham,Everton,2,1,H,Premier League,2023-11-12,2023-2024,2.0,3.54,4.98
Manchester City,Chelsea,1,1,D,Premier League,2023-11-13,2023-2024,2.36,3.17,3.06
Fulham,Barcelona,0,3,A,Premier League,2023-11-14,2023-2024,2.99,3.78,2.04
PSG,Everton,2,1,H,European Football,2023-11-15,2023-2024,1.84,3.99,3.78
Everton,Newcastle,2,1,H,Premier League,2023-11-16,2023-2024,1.92,3.67,5.09
Nottingham Forest,Juventus,2,1,H,Premier League,2023-11-17,2023-2024,1.81,3.51,4.19
Juventus,Crystal Palace,1,2,A,European Football,2023-11-18,2023-2024,4.89,3.75,1.77
Juventus,West Ham,1,1,D,European Football,2023-11-19,2023-2024,2.86,3.36,3.48
Crystal Palace,Liverpool,1,0,H,Premier League,2023-11-20,2023-2024,1.41,3.73,4.32
Aston Villa,Barcelona,1,3,A,Premier League,2023-11-21,2023-2024,4.2,3.8,1.69
Arsenal,Atletico Madrid,1,1,D,Premier League,2023-11-22,2023-2024,2.44,3.58,2.68
West Ham,Brentford,3,1,H,Premier League,2023-11-23,2023-2024,1.47,3.83,3.66
Brighton,Atletico Madrid,3,0,H,Premier League,2023-11-24,2023-2024,1.62,3.76,4.75
Bayern Munich,Everton,2,1,H,European Football,2023-11-25,2023-2024,2.22,3.5,5.27
Nottingham Forest,Liverpool,2,0,H,Premier League,2023-11-26,2023-2024,2.26,3.3,5.79
Dortmund,Crystal Palace,1,0,H,European Football,2023-11-27,2023-2024,1.62,3.75,3.97
Nottingham Forest,Tottenham,2,1,H,Premier League,2023-11-28,2023-2024,1.43,3.49,4.35
Tottenham,Bournemouth,2,3,A,Premier League,2023-11-29,2023-2024,4.53,3.7,2.2
Crystal Palace,Nottingham Forest,0,0,D,Premier League,2023-11-30,2023-2024,2.25,3.16,2.56
Aston Villa,Chelsea,2,1,H,Premier League,2023-12-01,2023-2024,2.14,4.12,4.82
Tottenham,AC Milan,1,1,D,Premier League,2023-12-02,2023-2024,2.37,3.32,2.88
Bayern Munich,Aston Villa,3,2,H,European Football,2023-12-03,2023-2024,1.94,3.23,4.19
Inter,Atletico Madrid,2,0,H,European Football,2023-12-04,2023-2024,2.09,4.02,5.23
PSG,Chelsea,1,2,A,European Football,2023-12-05,2023-2024,4.82,3.35,2.13
Dortmund,West Ham,4,1,H,European Football,2023-12-06,2023-2024,1.77,3.52,3.81
Chelsea,Manchester City,1,1,D,Premier League,2023-12-07,2023-2024,2.76,3.24,3.24
Aston Villa,Tottenham,0,0,D,Premier League,2023-12-08,2023-2024,2.22,3.46,3.35
Arsenal,Inter,3,1,H,Premier League,2023-12-09,2023-2024,1.45,3.72,5.37
West Ham,Dortmund,1,0,H,Premier League,2023-12-10,2023-2024,1.64,3.33,4.36
AC Milan,West Ham,0,4,A,European Football,2023-12-11,2023-2024,4.14,3.39,1.74
Barcelona,Arsenal,2,0,H,European Football,2023-12-12,2023-2024,2.29,4.11,4.88
Brentford,Dortmund,3,1,H,Premier League,2023-12-13,2023-2024,2.04,3.71,4.32
West Ham,Everton,1,0,H,Premier League,2023-12-14,2023-2024,1.57,3.8,5.74
Brighton,Bournemouth,1,2,A,Premier League,2023-12-15,2023-2024,3.71,3.95,2.06
Arsenal,Liverpool,2,2,D,Premier League,2023-12-16,2023-2024,2.68,3.4,3.35
Tottenham,Barcelona,1,1,D,Premier League,2023-12-17,2023-2024,2.86,3.23,3.43
Crystal Palace,AC Milan,1,1,D,Premier League,2023-12-18,2023-2024,2.96,3.25,2.75
West Ham,AC Milan,3,1,H,Premier League,2023-12-19,2023-2024,2.29,3.99,5.46
Brighton,West Ham,4,0,H,Premier League,2023-12-20,2023-2024,2.27,3.53,3.8
Tottenham,Brentford,1,1,D,Premier League,2023-12-21,2023-2024,2.82,3.25,3.12
Brighton,Bournemouth,1,4,A,Premier League,2023-12-22,2023-2024,3.54,3.75,2.18
Manchester City,Inter,3,1,H,Premier League,2023-12-23,2023-2024,1.68,3.92,5.78
Barcelona,Aston Villa,2,0,H,European Football,2023-12-24,2023-2024,2.02,3.49,4.18
Bournemouth,Nottingham Forest,4,2,H,Premier League,2023-12-25,2023-2024,2.03,3.3,4.0
Liverpool,Arsenal,0,2,A,Premier League,2023-12-26,2023-2024,3.45,3.5,1.73
Real Madrid,Nottingham Forest,2,2,D,European Football,2023-12-27,2023-2024,2.27,3.05,3.36
Bayern Munich,Inter,1,3,A,European Football,2023-12-28,2023-2024,3.11,3.57,1.83
Fulham,Inter,0,2,A,Premier League,2023-12-29,2023-2024,4.78,3.74,1.74
Tottenham,Manchester United,4,0,H,Premier League,2023-12-30,2023-2024,2.27,3.89,4.87
Liverpool,Crystal Palace,4,3,H,Premier League,2023-12-31,2023-2024,1.5,3.58,4.58
Liverpool,AC Milan,1,4,A,Premier League,2024-01-01,2023-2024,4.25,3.42,2.11
Inter,PSG,2,0,H,European Football,2024-01-02,2023-2024,1.95,3.7,6.21
Liverpool,PSG,2,1,H,Premier League,2024-01-03,2023-2024,1.72,3.84,5.36
Inter,PSG,2,2,D,European Football,2024-01-04,2023-2024,2.94,3.38,3.39
Dortmund,Aston Villa,1,1,D,European Football,2024-01-05,2023-2024,2.68,3.44,2.5
Liverpool,Manchester City,2,0,H,Premier League,2024-01-06,2023-2024,1.52,3.74,6.41
Real Madrid,Fulham,3,0,H,European Football,2024-01-07,2023-2024,2.14,3.68,5.92
Juventus,Manchester City,3,1,H,European Football,2024-01-08,2023-2024,1.47,3.95,4.18
Inter,Juventus,2,1,H,European Football,2024-01-09,2023-2024,2.16,3.76,3.77
Newcastle,Arsenal,1,0,H,Premier League,2024-01-10,2023-2024,1.73,3.95,4.29
Newcastle,Dortmund,3,0,H,Premier League,2024-01-11,2023-2024,1.61,3.23,6.15
Barcelona,Manchester City,3,0,H,European Football,2024-01-12,2023-2024,1.46,4.02,6.23
Liverpool,Dortmund,1,0,H,Premier League,2024-01-13,2023-2024,2.25,3.5,4.98
Brentford,Everton,3,0,H,Premier League,2024-01-14,2023-2024,1.81,3.87,5.73
Barcelona,Nottingham Forest,2,2,D,European Football,2024-01-15,2023-2024,2.99,3.39,3.32
Bayern Munich,Nottingham Forest,3,0,H,European Football,2024-01-16,2023-2024,2.02,3.42,4.83
Everton,Manchester United,0,2,A,Premier League,2024-01-17,2023-2024,4.0,3.98,1.92
Newcastle,Fulham,0,0,D,Premier League,2024-01-18,2023-2024,2.95,3.27,3.13
Dortmund,Bayern Munich,4,0,H,European Football,2024-01-19,2023-2024,1.7,4.19,5.86
Crystal Palace,Bournemouth,3,1,H,Premier League,2024-01-20,2023-2024,1.93,4.01,4.2
PSG,Brighton,2,1,H,European Football,2024-01-21,2023-2024,1.65,4.18,6.46
Barcelona,Fulham,2,0,H,European Football,2024-01-22,2023-2024,2.18,3.33,4.57
Everton,Atletico Madrid,1,0,H,Premier League,2024-01-23,2023-2024,1.45,3.94,5.08
Juventus,Bournemouth,1,2,A,European Football,2024-01-24,2023-2024,3.93,3.29,2.05
Bayern Munich,Aston Villa,2,3,A,European Football,2024-01-25,2023-2024,4.25,3.44,2.18
Arsenal,Aston Villa,4,2,H,Premier League,2024-01-26,2023-2024,1.78,3.31,5.64
Tottenham,Bournemouth,3,1,H,Premier League,2024-01-27,2023-2024,1.53,3.33,5.37
Atletico Madrid,Barcelona,2,1,H,European Football,2024-01-28,2023-2024,1.94,3.49,5.02
Nottingham Forest,Brentford,2,0,H,Premier League,2024-01-29,2023-2024,1.99,4.08,5.15
Crystal Palace,Nottingham Forest,1,0,H,Premier League,2024-01-30,2023-2024,1.71,3.65,4.75
Brentford,Manchester City,1,2,A,Premier League,2024-01-31,2023-2024,3.62,3.32,2.43
Bournemouth,Nottingham Forest,0,2,A,Premier League,2024-02-01,2023-2024,4.59,3.65,2.13
Barcelona,Manchester City,2,1,H,European Football,2024-02-02,2023-2024,2.19,4.14,4.77
Juventus,Aston Villa,4,1,H,European Football,2024-02-03,2023-2024,1.72,3.78,4.14
Inter,West Ham,1,0,H,European Football,2024-02-04,2023-2024,2.16,3.57,5.79
Atletico Madrid,Everton,3,2,H,European Football,2024-02-05,2023-2024,2.28,4.02,5.34
Dortmund,Barcelona,0,3,A,European Football,2024-02-06,2023-2024,4.62,3.41,1.76
AC Milan,PSG,1,1,D,European Football,2024-02-07,2024-2025,2.11,3.52,3.02
Newcastle,Bournemouth,0,1,A,Premier League,2024-02-08,2024-2025,2.87,3.8,1.79
Nottingham Forest,Tottenham,1,1,D,Premier League,2024-02-09,2024-2025,2.82,3.47,3.02
Bournemouth,Aston Villa,0,2,A,Premier League,2024-02-10,2024-2025,2.91,3.27,2.0
Nottingham Forest,West Ham,2,1,H,Premier League,2024-02-11,2024-2025,1.59,3.71,4.54
Brentford,Liverpool,2,1,H,Premier League,2024-02-12,2024-2025,1.87,3.51,4.16
Bayern Munich,Aston Villa,0,1,A,European Football,2024-02-13,2024-2025,3.26,3.31,1.83
Manchester City,Brentford,0,2,A,Premier League,2024-02-14,2024-2025,3.19,3.5,2.23
Real Madrid,Barcelona,3,2,H,European Football,2024-02-15,2024-2025,1.46,4.06,3.63
Arsenal,Tottenham,3,3,D,Premier League,2024-02-16,2024-2025,2.68,3.34,3.18
Nottingham Forest,Liverpool,0,0,D,Premier League,2024-02-17,2024-2025,2.42,3.48,3.08
AC Milan,Manchester United,0,2,A,European Football,2024-02-18,2024-2025,3.34,3.67,2.07
Newcastle,Liverpool,2,0,H,Premier League,2024-02-19,2024-2025,2.1,3.28,5.4
Real Madrid,Crystal Palace,3,1,H,European Football,2024-02-20,2024-2025,2.05,4.02,5.95
Everton,Brentford,0,0,D,Premier League,2024-02-21,2024-2025,2.7,3.46,3.12
Chelsea,PSG,2,1,H,Premier League,2024-02-22,2024-2025,1.91,3.78,5.54
Atletico Madrid,Dortmund,2,1,H,European Football,2024-02-23,2024-2025,2.18,3.83,3.95
Bournemouth,West Ham,1,1,D,Premier League,2024-02-24,2024-2025,2.37,3.03,2.96
Liverpool,Tottenham,1,0,H,Premier League,2024-02-25,2024-2025,2.15,3.28,6.09
Bournemouth,Bayern Munich,2,1,H,Premier League,2024-02-26,2024-2025,1.92,4.15,5.72
Aston Villa,Tottenham,3,1,H,Premier League,2024-02-27,2024-2025,1.57,3.81,5.0
Aston Villa,Tottenham,0,3,A,Premier League,2024-02-28,2024-2025,3.56,3.77,2.05
Chelsea,Aston Villa,1,1,D,Premier League,2024-02-29,2024-2025,2.54,3.31,2.57
Manchester United,Liverpool,1,2,A,Premier League,2024-03-01,2024-2025,4.29,3.24,2.17
Manchester City,Bournemouth,1,1,D,Premier League,2024-03-02,2024-2025,2.49,3.15,3.34
Bayern Munich,Brighton,1,1,D,European Football,2024-03-03,2024-2025,2.24,3.21,3.46
AC Milan,Inter,1,1,D,European Football,2024-03-04,2024-2025,3.04,3.19,2.81
Manchester City,Brighton,2,2,D,Premier League,2024-03-05,2024-2025,2.84,3.41,2.98
Dortmund,Inter,1,1,D,European Football,2024-03-06,2024-2025,2.46,3.11,2.64
PSG,West Ham,0,4,A,European Football,2024-03-07,2024-2025,3.14,3.44,2.31
Real Madrid,PSG,1,2,A,European Football,2024-03-08,2024-2025,3.96,3.73,2.39
Bayern Munich,Brighton,2,0,H,European Football,2024-03-09,2024-2025,1.56,3.89,5.37
Chelsea,Juventus,1,1,D,Premier League,2024-03-10,2024-2025,2.78,3.14,2.89
Liverpool,PSG,2,1,H,Premier League,2024-03-11,2024-2025,1.88,3.51,5.93
West Ham,Crystal Palace,1,3,A,Premier League,2024-03-12,2024-2025,4.97,3.57,1.85
Newcastle,Real Madrid,1,4,A,Premier League,2024-03-13,2024-2025,4.6,3.84,1.72
Fulham,Aston Villa,2,3,A,Premier League,2024-03-14,2024-2025,4.02,3.28,2.36
Brentford,Liverpool,0,0,D,Premier League,2024-03-15,2024-2025,2.55,3.31,3.31
Bournemouth,Everton,3,3,D,Premier League,2024-03-16,2024-2025,3.03,3.25,2.84
Manchester United,Everton,1,0,H,Premier League,2024-03-17,2024-2025,1.6,3.52,3.8
AC Milan,Dortmund,1,0,H,European Football,2024-03-18,2024-2025,1.43,4.12,4.92
Brighton,PSG,2,1,H,Premier League,2024-03-19,2024-2025,1.4,3.28,4.27
Brighton,Barcelona,3,1,H,Premier League,2024-03-20,2024-2025,1.78,3.98,4.21
Brentford,Aston Villa,1,1,D,Premier League,2024-03-21,2024-2025,2.72,3.04,3.32
West Ham,Bayern Munich,1,1,D,Premier League,2024-03-22,2024-2025,2.68,3.43,2.72
Arsenal,Bayern Munich,1,1,D,Premier League,2024-03-23,2024-2025,2.29,3.4,2.98
Manchester United,Bournemouth,4,1,H,Premier League,2024-03-24,2024-2025,2.11,3.71,3.56
West Ham,Aston Villa,2,4,A,Premier League,2024-03-25,2024-2025,3.36,3.21,2.31
Manchester United,Everton,2,1,H,Premier League,2024-03-26,2024-2025,2.09,3.94,4.5
Aston Villa,Manchester United,1,2,A,Premier League,2024-03-27,2024-2025,3.19,3.82,2.02
AC Milan,West Ham,2,2,D,European Football,2024-03-28,2024-2025,2.16,3.47,2.9
Liverpool,Crystal Palace,0,0,D,Premier League,2024-03-29,2024-2025,2.14,3.56,2.97
Barcelona,West Ham,1,2,A,European Football,2024-03-30,2024-2025,3.22,3.49,2.3
Dortmund,Manchester City,1,2,A,European Football,2024-03-31,2024-2025,3.76,3.52,2.0
Newcastle,Manchester City,4,1,H,Premier League,2024-04-01,2024-2025,1.85,4.12,5.06
Bournemouth,Juventus,1,1,D,Premier League,2024-04-02,2024-2025,3.1,3.11,2.72
Brentford,Bournemouth,1,0,H,Premier League,2024-04-03,2024-2025,1.8,3.92,4.0
Tottenham,Manchester United,1,2,A,Premier League,2024-04-04,2024-2025,4.81,3.69,1.99
Dortmund,Aston Villa,0,1,A,European Football,2024-04-05,2024-2025,3.6,3.84,2.21
Arsenal,Brighton,3,2,H,Premier League,2024-04-06,2024-2025,1.79,3.33,4.21
Dortmund,Manchester United,1,3,A,European Football,2024-04-07,2024-2025,2.87,3.32,2.0
Manchester United,Tottenham,2,1,H,Premier League,2024-04-08,2024-2025,1.88,3.6,5.45
Everton,Brentford,0,0,D,Premier League,2024-04-09,2024-2025,2.62,3.55,2.53
PSG,Fulham,2,0,H,European Football,2024-04-10,2024-2025,1.95,3.89,6.5
Crystal Palace,Brentford,0,0,D,Premier League,2024-04-11,2024-2025,2.27,3.43,3.5
Inter,Manchester City,2,2,D,European Football,2024-04-12,2024-2025,2.65,3.17,2.73
Chelsea,AC Milan,2,2,D,Premier League,2024-04-13,2024-2025,2.27,3.22,2.65
Crystal Palace,Brighton,1,1,D,Premier League,2024-04-14,2024-2025,2.46,3.34,2.91
Barcelona,Brighton,2,0,H,European Football,2024-04-15,2024-2025,1.68,4.2,5.66
Real Madrid,Nottingham Forest,2,2,D,European Football,2024-04-16,2024-2025,2.17,3.58,3.11
